date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:09	64656/64656	---M-Z	200	added ('OK')	text/html	etag:%221570314f-fc90-565bbe6bd2b00-gzip%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html	(from )
21:55:09	13/13	---M--	200	added ('OK')	text/plain	etag:%2214f00210-d-54bd9ec6f98cb%22	https://pixinvent.com/robots.txt		(from )
21:55:11	42750/42750	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:25:11%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-60.png	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-60.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:13	42750/42750	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:25:14%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-76.png	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-76.2.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:14	42752/42752	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:25:15%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-120.png	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-120.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:15	42752/42752	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Jun%202018%2016:25:16%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-152.png	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/apple-icon-152.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:15	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Thu,%2028%20Jun%202018%2016:25:17%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/favicon.ico	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/favicon.ico	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:16	1719/1719	---M--	200	added ('OK')	image/png	etag:%2215661aa3-6b7-565b796162bda%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/favicon-32.png	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/img/ico/favicon-32.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:16	9225/9225	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Feb%202018%2011:54:15%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/fonts/feather/style.min.css	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/fonts/feather/style.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
21:55:16	90692/90692	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Feb%202018%2011:54:15%20GMT	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/fonts/simple-line-icons/style.css	C:/My%20Web%20Sites/Apex/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/app-assets/fonts/simple-line-icons/style.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-2/dashboard1.html)
